0.00	0.00	0.00	10.00	0.00	1.00
0.00	-10.00	-10.00	10.00	0.00	1.00
0.00	-10.00	10.00	10.00	0.00	1.00
0.00	0.00	50.00	10.00	0.00	2.00
0.00	-10.00	40.00	10.00	0.00	2.00
0.00	-10.00	60.00	10.00	0.00	2.00
0.00	0.00	100.00	10.00	0.00	3.00
0.00	-10.00	90.00	10.00	0.00	3.00
0.00	-10.00	110.00	10.00	0.00	3.00
0.00	0.00	150.00	10.00	0.00	4.00
0.00	-10.00	140.00	10.00	0.00	4.00
0.00	-10.00	160.00	10.00	0.00	4.00
0.00	0.00	200.00	10.00	0.00	5.00
0.00	-10.00	190.00	10.00	0.00	5.00
0.00	-10.00	210.00	10.00	0.00	5.00
0.00	0.00	250.00	10.00	0.00	6.00
0.00	-10.00	240.00	10.00	0.00	6.00
0.00	-10.00	260.00	10.00	0.00	6.00
0.00	0.00	300.00	10.00	0.00	7.00
0.00	-10.00	290.00	10.00	0.00	7.00
0.00	-10.00	310.00	10.00	0.00	7.00
0.00	0.00	350.00	10.00	0.00	8.00
0.00	-10.00	340.00	10.00	0.00	8.00
0.00	-10.00	360.00	10.00	0.00	8.00
0.00	0.00	400.00	10.00	0.00	9.00
0.00	-10.00	390.00	10.00	0.00	9.00
0.00	-10.00	410.00	10.00	0.00	9.00
0.00	0.00	450.00	10.00	0.00	10.00
0.00	-10.00	440.00	10.00	0.00	10.00
0.00	-10.00	460.00	10.00	0.00	10.00
0.00	0.00	500.00	10.00	0.00	11.00
0.00	-10.00	490.00	10.00	0.00	11.00
0.00	-10.00	510.00	10.00	0.00	11.00
0.00	0.00	550.00	10.00	0.00	12.00
0.00	-10.00	540.00	10.00	0.00	12.00
0.00	-10.00	560.00	10.00	0.00	12.00
0.00	0.00	600.00	10.00	0.00	13.00
0.00	-10.00	590.00	10.00	0.00	13.00
0.00	-10.00	610.00	10.00	0.00	13.00
0.00	0.00	650.00	10.00	0.00	14.00
0.00	-10.00	640.00	10.00	0.00	14.00
0.00	-10.00	660.00	10.00	0.00	14.00
0.00	0.00	700.00	10.00	0.00	15.00
0.00	-10.00	690.00	10.00	0.00	15.00
0.00	-10.00	710.00	10.00	0.00	15.00
0.00	0.00	750.00	10.00	0.00	16.00
0.00	-10.00	740.00	10.00	0.00	16.00
0.00	-10.00	760.00	10.00	0.00	16.00
0.50	5.00	0.00	10.00	0.00	1.00
0.50	-5.00	-10.00	10.00	0.00	1.00
0.50	-5.00	10.00	10.00	0.00	1.00
0.50	5.00	50.00	10.00	0.00	2.00
0.50	-5.00	40.00	10.00	0.00	2.00
0.50	-5.00	60.00	10.00	0.00	2.00
0.50	5.00	100.00	10.00	0.00	3.00
0.50	-5.00	90.00	10.00	0.00	3.00
0.50	-5.00	110.00	10.00	0.00	3.00
0.50	5.00	150.00	10.00	0.00	4.00
0.50	-5.00	140.00	10.00	0.00	4.00
0.50	-5.00	160.00	10.00	0.00	4.00
0.50	5.00	200.00	10.00	0.00	5.00
0.50	-5.00	190.00	10.00	0.00	5.00
0.50	-5.00	210.00	10.00	0.00	5.00
0.50	5.00	250.00	10.00	0.00	6.00
0.50	-5.00	240.00	10.00	0.00	6.00
0.50	-5.00	260.00	10.00	0.00	6.00
0.50	5.00	300.00	10.00	0.00	7.00
0.50	-5.00	290.00	10.00	0.00	7.00
0.50	-5.00	310.00	10.00	0.00	7.00
0.50	5.00	350.00	10.00	0.00	8.00
0.50	-5.00	340.00	10.00	0.00	8.00
0.50	-5.00	360.00	10.00	0.00	8.00
0.50	5.00	400.00	10.00	0.00	9.00
0.50	-5.00	390.00	10.00	0.00	9.00
0.50	-5.00	410.00	10.00	0.00	9.00
0.50	5.00	450.00	10.00	0.00	10.00
0.50	-5.00	440.00	10.00	0.00	10.00
0.50	-5.00	460.00	10.00	0.00	10.00
0.50	5.00	500.00	10.00	0.00	11.00
0.50	-5.00	490.00	10.00	0.00	11.00
0.50	-5.00	510.00	10.00	0.00	11.00
0.50	5.00	550.00	10.00	0.00	12.00
0.50	-5.00	540.00	10.00	0.00	12.00
0.50	-5.00	560.00	10.00	0.00	12.00
0.50	5.00	600.00	10.00	0.00	13.00
0.50	-5.00	590.00	10.00	0.00	13.00
0.50	-5.00	610.00	10.00	0.00	13.00
0.50	5.00	650.00	10.00	0.00	14.00
0.50	-5.00	640.00	10.00	0.00	14.00
0.50	-5.00	660.00	10.00	0.00	14.00
0.50	5.00	700.00	10.00	0.00	15.00
0.50	-5.00	690.00	10.00	0.00	15.00
0.50	-5.00	710.00	10.00	0.00	15.00
0.50	5.00	750.00	10.00	0.00	16.00
0.50	-5.00	740.00	10.00	0.00	16.00
0.50	-5.00	760.00	10.00	0.00	16.00
1.00	10.00	0.00	10.00	0.00	1.00
1.00	0.00	-10.00	10.00	0.00	1.00
1.00	0.00	10.00	10.00	0.00	1.00
1.00	10.00	50.00	10.00	0.00	2.00
1.00	0.00	40.00	10.00	0.00	2.00
1.00	0.00	60.00	10.00	0.00	2.00
1.00	10.00	100.00	10.00	0.00	3.00
1.00	0.00	90.00	10.00	0.00	3.00
1.00	0.00	110.00	10.00	0.00	3.00
1.00	10.00	150.00	10.00	0.00	4.00
1.00	0.00	140.00	10.00	0.00	4.00
1.00	0.00	160.00	10.00	0.00	4.00
1.00	10.00	200.00	10.00	0.00	5.00
1.00	0.00	190.00	10.00	0.00	5.00
1.00	0.00	210.00	10.00	0.00	5.00
1.00	10.00	250.00	10.00	0.00	6.00
1.00	0.00	240.00	10.00	0.00	6.00
1.00	0.00	260.00	10.00	0.00	6.00
1.00	10.00	300.00	10.00	0.00	7.00
1.00	0.00	290.00	10.00	0.00	7.00
1.00	0.00	310.00	10.00	0.00	7.00
